run,algorithm,classifier,uid,Acc.,Bal. Acc.,Kappa,duplicated
2,Ext. Infomax,lda,9,0.7916666666666666,0.7916666666666667,0.5833333333333333,0
0,SOBI,lda,9,0.8125,0.8125,0.625,0
0,FastICA,lda,9,0.8125,0.8125,0.625,0
1,FastICA,lda,9,0.875,0.875,0.75,0
2,FastICA,lda,9,0.8263888888888888,0.8263888888888888,0.6527777777777778,0
0,picard_o,lda,9,0.8055555555555556,0.8055555555555556,0.6111111111111112,0
1,picard_o,lda,9,0.7708333333333334,0.7708333333333333,0.5416666666666667,0
2,picard_o,lda,9,0.8055555555555556,0.8055555555555556,0.6111111111111112,0
1,None,lda,9,0.7152777777777778,0.7152777777777778,0.4305555555555556,1
2,None,lda,9,0.7152777777777778,0.7152777777777778,0.4305555555555556,1
1,ORICA (0),lda,9,0.4375,0.4375,-0.125,1
2,ORICA (0),lda,9,0.4375,0.4375,-0.125,1
1,ORICA (1),lda,9,0.5555555555555556,0.5555555555555556,0.11111111111111116,1
2,ORICA (1),lda,9,0.5555555555555556,0.5555555555555556,0.11111111111111116,1
1,SOBI,lda,9,0.8125,0.8125,0.625,1
2,SOBI,lda,9,0.8125,0.8125,0.625,1
